occupation,soc_code
Stock Clerks,43-5081
Stock Clerks and Order Fillers,43-5080
Stock Clerks and Order Fillers,43-5081
"Stock Movers, Hand",53-7062
Stone Spreader Operators,47-2071
Stonemasons,47-2022
Stonemasons Helpers,47-3011
Storage Managers,11-3071
Store Detectives,33-9021
Store Gift Wrap Associates,41-9099
Store Receiving Clerks,43-5071
"Straighteners, Auto Bumper ",49-3021
Stratigraphers,19-2042
Street Cleaning Equipment Operators,53-3099
Street Vendors,41-9091
Streetcar Operators,53-4041
Streetcar Repairers,49-3043
Structural Architects,17-1011
Structural Drafters,17-3011
Structural Engineering Technicians,17-3022
Structural Engineers,17-2051
Structural Iron and Steel Workers,47-2220
Structural Iron and Steel Workers,47-2221
Structural Iron Workers,47-2221
Structural Metal Fabricators,51-2041
Structural Metal Fabricators and Fitters,51-2040
Structural Metal Fabricators and Fitters,51-2041
Structural Metal Fitters,51-2041
Structural Steel Workers,47-2221
Stucco Masons,47-2161
Stucco Masons Helpers,47-3014
Stucco Workers,47-2161
Student Admissions Clerks,43-4199
Student Development Advisors,21-1012
"Stuffers, Envelope ",43-9199
"Stylists, Wig ",39-5012
Subscription Clerks,43-4151
Substance Abuse and Behavioral Disorder Counselors,21-1011
Substance Abuse Counselors,21-1011
Substance Abuse Social Workers,21-1023
Substation Electrical and Electronics Repairers,49-2095
Substation Operators,51-8012
Substitute Teachers,25-3099
Subway and Streetcar Operators,53-4040
Subway and Streetcar Operators,53-4041
Subway Car Repairers,49-3043
Subway Operators,53-4041
Sugar Pressers,51-9041
"Superintendents, Airborne Mission Systems ",55-2011
"Superintendents, Command Post ",55-2013
"Superintendents, Construction ",11-9021
"Superintendents, General ",11-1021
"Superintendents, Mail",11-9131
Supervising Fire Marshals,33-1021
Supervisors of Building and Grounds Cleaning and Maintenance Workers,37-1000
Supervisors of Construction and Extraction Workers,47-1000
"Supervisors of Farming, Fishing, and Forestry Workers",45-1000
Supervisors of Food Preparation and Serving Workers,35-1000
Supervisors of Food Preparation and Serving Workers,35-1010
"Supervisors of Installation, Maintenance, and Repair Workers",49-1000
Supervisors of Office and Administrative Support Workers,43-1000
Supervisors of Personal Care and Service Workers,39-1000
Supervisors of Production Workers,51-1000
Supervisors of Protective Service Workers,33-1000
Supervisors of Sales Workers,41-1000
Supervisors of Transportation and Material Moving Workers,53-1000
"Supervisors, Air Cargo Ground Crew ",53-1011
"Supervisors, Air Cargo Ground Operations ",53-1011
"Supervisors, Aircraft Cargo Handling",53-1011
"Supervisors, Airport Ramp ",53-1011
"Supervisors, Animal Cruelty Investigation ",33-1099
"Supervisors, Animal Trainer ",39-1021
"Supervisors, Assembly Line ",51-1011
"Supervisors, Automobile Body Repair ",49-1011
"Supervisors, Banquet ",35-1012
"Supervisors, Building Cleaning ",37-1011
"Supervisors, Cardroom ",39-1011
"Supervisors, Carpenter ",47-1011
"Supervisors, Cashier ",41-1011
"Supervisors, Casino Slot ",39-1012
"Supervisors, Cleaning Staff ",37-1011
"Supervisors, Clerical ",43-1011
"Supervisors, Cranberry Bog ",45-1011
"Supervisors, Custodial ",37-1011
"Supervisors, Dock Operations ",53-1031
"Supervisors, Electronic Gaming Device ",39-1012
"Supervisors, Fish Hatchery ",45-1011
"Supervisors, Fleet Maintenance ",49-1011
"Supervisors, Gaming",39-1011
"Supervisors, Gas Station ",53-1031
"Supervisors, Grounds Maintenance ",37-1012
"Supervisors, Horticultural Services ",37-1012
"Supervisors, Insurance Sales ",41-1012
"Supervisors, Kitchen ",35-1012
"Supervisors, Machinist ",51-1011
"Supervisors, Material Handling Crew ",53-1021
"Supervisors, Municipal Fire Fighting and Prevention ",33-1021
"Supervisors, Payroll ",43-1011
"Supervisors, Postal ",11-9131
"Supervisors, Printing Worker ",51-1011
"Supervisors, Prison Guard ",33-1011
"Supervisors, Railroad Car Repair",49-1011
"Supervisors, Real Estate Sales ",41-1012
"Supervisors, Recreation Attendant ",39-1021
"Supervisors, Rig ",47-1011
"Supervisors, Security Guard ",33-1099
"Supervisors, Slot",39-1012
"Supervisors, Solar Panel Installation ",47-1011
"Supervisors, Surface Ship USW ",55-2013
"Supervisors, Table Games ",39-1011
"Supervisors, Telemarketer ",41-1012
"Supervisors, Teller ",43-1011
"Supervisors, Transportation Security Administration (TSA) Screener ",33-1099
"Supervisors, Warehouse ",53-1021
Surface Hydrologists,19-2043
Surface Ship USW Supervisors,55-2013
Surfacing Equipment Operators,47-2071
Surgeons,29-1067
"Surgeons, All Other",29-1069
"Surgeons, Animal ",29-1131
"Surgeons, Cardiovascular ",29-1067
"Surgeons, Dental ",29-1022
"Surgeons, Maxillofacial",29-1022
"Surgeons, Oral",29-1022
"Surgeons, Orthopedic ",29-1067
"Surgeons, Plastic ",29-1067
"Surgeons, Thoracic ",29-1067
"Surgeons, Tree ",37-3013
Surgical Instrument Mechanics,49-9062
Surgical Instruments Sales Representatives,41-4011
Surgical Orderlies,31-1015
Surgical Scrub Technologists,29-2055
Surgical Technologists,29-2055
"Surveillance Officers, Gaming",33-9031
Survey Methodologists,19-3022
Survey Questionnaire Designers,19-3022
Survey Research Professors,25-1069
Survey Researchers,19-3020
Survey Researchers,19-3022
Survey Statisticians,15-2041
Surveying and Mapping Technicians,17-3030
Surveying and Mapping Technicians,17-3031
Surveying Technicians,17-3031
Surveyors,17-1022
"Surveyors, Cartographers, and Photogrammetrists",17-1020
"Surveyors, Geodetic ",17-1022
"Surveyors, Land ",17-1022
"Surveyors, Mineral ",17-1022
Swager Operators,51-4022
Swedish Masseuses,31-9011
"Sweepers, Chimney ",37-2019
"Swimmers, Combatant  (SEAL)",55-3018
Swimming Pool Plasterers,47-2161
Switch Couplers,53-4021
"Switchboard Operators, Including Answering Service",43-2010
"Switchboard Operators, Including Answering Service",43-2011
"Switchers, Railcar ",53-4013
Synchronous Motor Assemblers,51-2023
"Synthetic Fibers Extruding and Forming Machine Setters, Operators, and Tenders",51-6091
Synthetic Filament Extruders,51-6091
"System Operators, All Other",51-8099
Systems Architects,15-1121
Systems Programmers,15-1131
"Systems Software, Software Developers",15-1133
Table Games Managers,11-9071
Table Games Supervisors,39-1011
Tailors,51-6052
"Tailors, Alterations ",51-6052
"Tailors, Dressmakers, and Custom Sewers",51-6052
"Tailors, Dressmakers, and Sewers",51-6050
"Takers, Census ",43-4111
"Takers, Unemployment Benefits Claims ",43-4061
Talk Show Hosts,27-3011
"Tampers, Form",47-2071
Tamping Equipment Operators,47-2071
Tamping Machine Operators,47-2071
Tank Car Loaders,53-7121
"Tank Car, Truck, and Ship Loaders",53-7120
"Tank Car, Truck, and Ship Loaders",53-7121
Tank Officers,55-1013
Tap Dancers,27-2031
Tapers,47-2082
"Tapers, Coil",51-2021
"Tapers, Drywall ",47-2082
"Tapers, Sheet Rock ",47-2082
"Tapers, Wall ",47-2082
Taproom Attendants,35-3011
Targeting Acquisition Officers,55-1014
Tattoo Artists,27-1019
Tavern Operators,11-9051
Tax Assessors,13-2021
Tax Collectors,13-2081
Tax Examiners,13-2081
"Tax Examiners and Collectors, and Revenue Agents",13-2081
"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2080
Tax Investigators,13-2081
Tax Preparers,13-2082
Taxi Drivers,53-3041
Taxi Drivers and Chauffeurs,53-3040
Taxi Drivers and Chauffeurs,53-3041
Taxicab Dispatchers,43-5032
"Taxonomists, Life Science ",19-1099
Teacher Assistants,25-9040
Teacher Assistants,25-9041
"Teachers and Instructors, All Other",25-3099
"Teachers and Instructors, Miscellaneous",25-3090
"Teachers, 4th Grade Math",25-2021
"Teachers, 7th Grade Social Studies",25-2022
"Teachers, Adult Basic and Secondary Education",25-3011
"Teachers, Adult Education ",25-3011
"Teachers, Adult Literacy",25-3011
"Teachers, Agricultural Sciences, Postsecondary",25-1041
"Teachers, All Other",25-3099
"Teachers, American Sign Language",25-1124
"Teachers, Anthropology, Postsecondary",25-1061
"Teachers, Archeology, Postsecondary",25-1061
"Teachers, Architecture, Postsecondary",25-1031
"Teachers, Area Studies, Postsecondary",25-1062
"Teachers, Art, Postsecondary",25-1121
"Teachers, Atmospheric Sciences, Postsecondary",25-1051
"Teachers, Bilingual Kindergarten ",25-2012
"Teachers, Biological Science, Postsecondary",25-1042
"Teachers, Business, Postsecondary",25-1011
"Teachers, Career/Technical Education, Middle School",25-2023
"Teachers, Career/Technical Education, Secondary School",25-2032
"Teachers, Chemical Engineering",25-1032
"Teachers, Chemistry, Postsecondary",25-1052
"Teachers, Citizenship ",25-3021
"Teachers, Civil Engineering",25-1032
"Teachers, Communications, Postsecondary",25-1122
"Teachers, Computer Science, Postsecondary",25-1021
"Teachers, Conservation Science, Postsecondary",25-1043
"Teachers, Criminal Justice, Postsecondary",25-1111
"Teachers, Cultural Studies, Postsecondary",25-1062
"Teachers, Drama, Postsecondary",25-1121
"Teachers, Early Childhood Special Education ",25-2051
"Teachers, Earth Sciences, Postsecondary",25-1051
"Teachers, Economics, Postsecondary",25-1063
"Teachers, Education, Postsecondary",25-1081
"Teachers, Electrical Engineering",25-1032
"Teachers, Elementary School, Except Special Education",25-2021
"Teachers, Engineering, Postsecondary",25-1032
"Teachers, English Language, Postsecondary",25-1123
"Teachers, English Literature, Postsecondary",25-1123
"Teachers, Environmental Science, Postsecondary",25-1053
"Teachers, Ethnic Studies, Postsecondary",25-1062
"Teachers, Fitness Studies, Postsecondary",25-1193
"Teachers, Foreign Language, Postsecondary",25-1124
"Teachers, Foreign Literature, Postsecondary",25-1124
"Teachers, Forestry Science, Postsecondary",25-1043
"Teachers, General Educational Development (GED) ",25-3011
"Teachers, Geography, Postsecondary",25-1064
"Teachers, Head Start ",25-2011
"Teachers, Health Specialties, Postsecondary",25-1071
"Teachers, High School Auto Repair ",25-2032
"Teachers, High School English",25-2031
"Teachers, High School French",25-2031
"Teachers, High School History",25-2031
"Teachers, High School Learning Support",25-2054
"Teachers, High School Special Education",25-2054
"Teachers, High School Vocational Education ",25-2032
"Teachers, History, Postsecondary",25-1125
"Teachers, Home Economics, Postsecondary",25-1192
"Teachers, Industrial Engineering",25-1032
"Teachers, Junior High School ",25-2022
"Teachers, Kindergarten, Except Special Education",25-2012
"Teachers, Law Enforcement, Postsecondary",25-1111
"Teachers, Law, Postsecondary",25-1112
"Teachers, Library Science, Postsecondary",25-1082
"Teachers, Marine Sciences, Postsecondary",25-1051
"Teachers, Mathematical Science, Postsecondary",25-1022
"Teachers, Mechanical Engineering",25-1032
"Teachers, Middle School Science ",25-2022
"Teachers, Middle School Special Education ",25-2053
"Teachers, Middle School Vocational Education ",25-2023
"Teachers, Middle School, Except Special and Career/Technical Education",25-2022
"Teachers, Middle School, Students with Moderate Intellectual Disabilities",25-2053
"Teachers, Military Science ",25-1199
"Teachers, Mineral Engineering",25-1032
"Teachers, Music, Postsecondary",25-1121
"Teachers, Nursery School ",25-2011
"Teachers, Nursing, Postsecondary",25-1072
"Teachers, Petroleum Engineering",25-1032
"Teachers, Philosophy, Postsecondary",25-1126
"Teachers, Physics, Postsecondary",25-1054
"Teachers, Political Science, Postsecondary",25-1065
"Teachers, Postsecondary, All Other",25-1199
"Teachers, Pre-Kindergarten ",25-2011
"Teachers, Pre-Kindergarten Special Education ",25-2051
"Teachers, Preschool, Except Special Education",25-2011
"Teachers, Psychology, Postsecondary",25-1066
"Teachers, Recreation Studies, Postsecondary",25-1193
"Teachers, Religion, Postsecondary",25-1126
"Teachers, Secondary School, Except Special and Career/Technical Education",25-2031
"Teachers, Self-Enrichment Education",25-3021
"Teachers, Severe Emotional Disorders Elementary School ",25-2052
"Teachers, Social Sciences, Postsecondary, All Other",25-1069
"Teachers, Social Work, Postsecondary",25-1113
"Teachers, Sociology, Postsecondary",25-1067
"Teachers, Space Sciences, Postsecondary",25-1051
"Teachers, Special Education Kindergarten ",25-2052
"Teachers, Special Education Middle School",25-2053
"Teachers, Special Education, Adults with Disabilities",25-2059
"Teachers, Special Education, All Other",25-2059
"Teachers, Special Education, Elementary School",25-2052
"Teachers, Special Education, Kindergarten",25-2052
"Teachers, Special Education, Preschool",25-2051
"Teachers, Special Education, Secondary School",25-2054
"Teachers, Substitute ",25-3099
"Teachers, Vocational Education, Postsecondary",25-1194
"Teaching Assistants, Graduate",25-1191
Teaching Fellows,25-1191
Team Assemblers,51-2092
Team Assembly Line Machine Operators,51-2092
Team Automobile Assemblers,51-2092
Technical Editors,27-3041
Technical Writers,27-3042
Technicians Audio Equipment,27-4011
"Technicians, Aerospace Engineering",17-3021
"Technicians, Aerospace Operations",17-3021
"Technicians, Agricultural Engineering ",17-3029
"Technicians, Agricultural Science",19-4011
"Technicians, Air Analysis Engineering",17-3025
"Technicians, Aircraft Launch and Recovery Equipment Maintenance ",55-3012
"Technicians, Airdrop Systems",55-1011
"Technicians, All Terrain Vehicle  ",49-3052
"Technicians, Altitude Chamber ",17-3021
"Technicians, Automotive Brake ",49-3023
"Technicians, Avionics",49-2091
"Technicians, Bacteriology ",19-4021
"Technicians, Behavioral Health ",29-2053
"Technicians, Biological",19-4021
"Technicians, Biomedical Engineering ",17-3029
"Technicians, Biomedical Equipment ",49-9062
"Technicians, Broadcast",27-4012
"Technicians, C2 Tactical Analysis ",55-3015
"Technicians, Cardiovascular",29-2031
"Technicians, Cartographic ",17-3031
"Technicians, Central Sterile Supply ",31-9093
"Technicians, Certified Pharmacy ",29-2052
"Technicians, Certified Respiratory Therapy ",29-2054
"Technicians, Chemical",19-4031
"Technicians, Chemical Laboratory ",19-4031
"Technicians, Civil Computer-Aided Design and Drafting",17-3011
"Technicians, Civil Engineering",17-3022
"Technicians, Clinical Laboratory",29-2012
"Technicians, Clock Repair ",49-9064
"Technicians, Computer Laboratory ",15-1199
"Technicians, Conservation",19-4093
"Technicians, Construction Health and Safety ",29-9012
"Technicians, Crime Scene ",19-4092
"Technicians, Crown and Bridge ",51-9081
"Technicians, Dental Laboratory",51-9081
"Technicians, Dialysis ",29-2099
"Technicians, Dietary ",29-2051
"Technicians, Dietetics",29-2051
"Technicians, EKG ",29-2031
"Technicians, Electrical Computer-Aided Design and Drafting ",17-3012
"Technicians, Electrical Design ",17-3023
"Technicians, Electrical Engineering",17-3023
"Technicians, Electro-Mechanical",17-3024
"Technicians, Electronics Engineering",17-3023
"Technicians, Emergency Medical",29-2041
"Technicians, Engineering, Except Drafters, All Other",17-3029
"Technicians, Environmental Engineering",17-3025
"Technicians, Environmental Protection, Including Health",19-4091
"Technicians, Environmental Remediation Engineering",17-3025
"Technicians, Environmental Science, Including Health",19-4091
"Technicians, Ergonomics ",29-9012
"Technicians, Expeditionary Airfield Systems ",55-3012
"Technicians, Explosive ",47-5031
"Technicians, Feed Research ",19-4011
"Technicians, Field Map ",17-3031
"Technicians, Fishing-Tool",47-5013
"Technicians, Flight Data ",17-3021
"Technicians, Food Science",19-4011
"Technicians, Forensic Science",19-4092
"Technicians, Forest",19-4093
"Technicians, Geological",19-4041
"Technicians, Geotechnical Engineering ",17-3022
"Technicians, GIS Mapping ",17-3031
"Technicians, Groundwater Monitoring ",19-4091
"Technicians, Gyroscope Engineering ",17-3027
"Technicians, Health Information",29-2071
"Technicians, Health Information Systems ",29-2071
"Technicians, Health, All Other",29-2099
"Technicians, Hearing Aid ",29-2092
"Technicians, Heat Transfer ",17-3027
"Technicians, Help Desk ",15-1151
"Technicians, Highway Engineering ",17-3022
"Technicians, Highway Traffic Control ",53-6041
"Technicians, Histology ",29-2012
"Technicians, Industrial Engineering",17-3026
"Technicians, Infectious Waste ",19-4091
"Technicians, Inorganic Chemical ",19-4031
"Technicians, Legal ",23-2099
"Technicians, Library",25-4031
"Technicians, Library Acquisitions ",25-4031
"Technicians, Library Circulation ",25-4031
"Technicians, Life Science, All Other",19-4099
"Technicians, Light Rail Signal ",49-9097
"Technicians, Lighting Engineering ",17-3023
"Technicians, Mapping",17-3031
"Technicians, Marine Diesel ",49-3031
"Technicians, Marine Fisheries ",19-4021
"Technicians, Mathematical",15-2091
"Technicians, Mathematical Engineering ",15-2091
"Technicians, Mechanical Engineering",17-3027
"Technicians, Medical Appliance",51-9082
"Technicians, Medical Laboratory",29-2012
"Technicians, Medical Records",29-2071
"Technicians, Mental Health ",29-2053
"Technicians, Metallurgical Engineering ",17-3029
"Technicians, Motion Study ",17-3026
"Technicians, Museum",25-4013
"Technicians, Museum Exhibit ",25-4013
"Technicians, Nail ",39-5092
"Technicians, Network ",15-1152
"Technicians, Network Support ",15-1152
"Technicians, Nuclear",19-4051
"Technicians, Nuclear Monitoring ",19-4051
"Technicians, Occupational Health",29-9012
"Technicians, Occupational Safety",29-9012
"Technicians, Ophthalmic Medical",29-2057
"Technicians, Ophthalmic Medical",51-9083
"Technicians, Optical Engineering ",17-3029
"Technicians, Optomechanical ",17-3027
"Technicians, Orthodontic ",51-9081
"Technicians, Orthotics ",51-9082
"Technicians, Oxygen Therapy ",29-2054
"Technicians, Pathology ",29-2012
"Technicians, Petroleum",19-4041
"Technicians, Pharmacist ",29-2052
"Technicians, Pharmacy",29-2052
"Technicians, Phlebotomy ",31-9097
"Technicians, Photographic Equipment ",49-9061
"Technicians, Photovoltaic (PV) Installation ",47-2231
"Technicians, Physical Science, All Other",19-4099
"Technicians, Podiatric ",29-9099
"Technicians, Pollution Control ",19-4091
"Technicians, Pollution Control Engineering ",17-3025
"Technicians, Prepress",51-5111
"Technicians, Prosthetics ",51-9082
"Technicians, Psychiatric",29-2053
"Technicians, Radar",55-3017
"Technicians, Radio Frequency ",49-2021
"Technicians, Radiochemical ",19-4051
"Technicians, Registered Diet  ",29-2051
"Technicians, Relay  ",49-2095
"Technicians, Remotely Piloted Vehicle Engineering  ",17-3024
"Technicians, Respiratory Therapy",29-2054
"Technicians, Robotics Testing ",17-3024
"Technicians, Semiconductor Development ",17-3023
"Technicians, Serology ",29-2012
"Technicians, Social Science, All Other",19-4099
"Technicians, Soil Conservation ",19-4093
"Technicians, Sonar",55-3017
"Technicians, Sound Effects ",27-4014
"Technicians, Sound Engineering",27-4014
"Technicians, Stage ",27-3099
"Technicians, Structural Engineering ",17-3022
"Technicians, Surveying",17-3031
"Technicians, Timber Management ",19-4093
"Technicians, Time Study ",17-3026
"Technicians, Trace Evidence ",19-4092
"Technicians, Traffic",53-6041
"Technicians, Traffic Signal ",53-6041
"Technicians, Transportation ",53-6041
"Technicians, Two-Way Radio ",49-2021
"Technicians, Veterinary",29-2056
"Technicians, Veterinary Laboratory ",29-2056
"Technicians, Video Equipment",27-4011
"Technicians, Waste Minimization ",19-4091
"Technicians, Wildlife ",19-4021
"Technicians, Wind Energy ",49-9081
"Technicians, Wind Tunnel ",17-3021
"Technicians, X-Ray ",29-2034
"Technologists, Blood Bank Laboratory ",29-2011
"Technologists, Cardiac Catheterization ",29-2031
"Technologists, Cardiovascular",29-2031
"Technologists, Certified Nuclear Medicine ",29-2033
"Technologists, Certified Surgical ",29-2055
"Technologists, Clinical Laboratory",29-2011
"Technologists, Computed Tomography/Magnetic Resonance Imaging (CT/MRI) ",29-2035 
"Technologists, Cytogenetic ",29-2011
"Technologists, Dairy ",19-4011
"Technologists, Electroencephalogram (EEG) ",29-2099
"Technologists, Electroneurodiagnostic ",29-2099
"Technologists, Food",19-1012
"Technologists, Health, All Other",29-2099
"Technologists, Magnetic Resonance Imaging",29-2035 
"Technologists, Medical Laboratory",29-2011
"Technologists, MRI ",29-2035 
"Technologists, Nuclear Cardiology ",29-2033
"Technologists, Nuclear Medicine",29-2033
"Technologists, Occupational Health and Safety (OHST)",29-9012
"Technologists, Ocular Care ",29-2057
"Technologists, Ophthalmic ",29-2057
"Technologists, Production Control ",17-3026
"Technologists, Radiation Therapy ",29-1124
"Technologists, Radioisotope ",29-2033
"Technologists, Radiologic",29-2034
"Technologists, Surgical",29-2055
"Technologists, Surgical Scrub ",29-2055
"Technologists, Ultrasound ",29-2032
"Technologists, Vascular",29-2031
"Technologists, Veterinary",29-2056
"Technologists, Veterinary Surgery ",29-2056
"Techs, Operating Room (OR) ",29-2055
"Techs, Polysomnograph ",29-2099
Telecommunication Engineers,17-2072
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022
"Telecommunications Equipment Installers, Except Line Installers",49-2022
"Telecommunications Equipment Repairers, Except Line Installers",49-2022
Telecommunications Line Installers,49-9052
Telecommunications Line Installers and Repairers,49-9052
Telecommunications Line Repairers,49-9052
Telemarketer Supervisors,41-1012
Telemarketers,41-9040
Telemarketers,41-9041
Telemarketing Sales Representatives,41-9041
Telephone Answering Service Operators,43-2011
Telephone Cable Splicers,49-9052
Telephone Operators,43-2020
Telephone Operators,43-2021
Telephone Solicitors,41-9041
Telephone Switchboard Operators,43-2011
Telescope Repairers,49-9069
Television Announcers,27-3011
Television Camera Operators,27-4031
Television News Video Editors,27-4032
Television Station Managers,11-1021
Television Writers,27-3043
"Television, Video, and Motion Picture Camera Operators and Editors",27-4030
Teller Supervisors,43-1011
Tellers,43-3070
Tellers,43-3071
"Tellers, Mutuel ",41-2012
"Tellers, Securities ",43-3071
"Temperers, Wire ",51-4191
Template Makers,51-4061
"Tenders, Adhesive Bonding Machine",51-9191
"Tenders, Blending Machine",51-9023
"Tenders, Boring Machine Tool, Metal and Plastic",51-4032
"Tenders, Brazing Machine",51-4122
"Tenders, Bridge",53-6011
"Tenders, Buffing Machine Tool, Metal and Plastic",51-4033
"Tenders, Casting Machine, Metal and Plastic",51-4072
"Tenders, Chemical Equipment",51-9011
"Tenders, Chiller ",51-9193
"Tenders, Clarifying Machine",51-9012
"Tenders, Cleaning Equipment",51-9192
"Tenders, Coating Machine",51-9121
"Tenders, Coating Machine, Metal and Plastic",51-4193
"Tenders, Compacting Machine",51-9041
"Tenders, Conveyors",53-7011
"Tenders, Cooling Equipment",51-9193
"Tenders, Coremaking Machine, Metal and Plastic",51-4072
"Tenders, Crushing Machine",51-9021
"Tenders, Cutting Machine",51-9032
"Tenders, Cutting Machine, Metal and Plastic",51-4031
"Tenders, Drawing Machine, Metal and Plastic",51-4021
"Tenders, Drier",51-9051
"Tenders, Drilling Machine Tool, Metal and Plastic",51-4032
"Tenders, Extruding Machine",51-9041
"Tenders, Extruding Machine, Metal and Plastic",51-4021
"Tenders, Extruding Machine, Synthetic and Glass Fibers",51-6091
"Tenders, Fiber Machine ",51-6091
"Tenders, Filling Machine",51-9111
"Tenders, Filtering Machine",51-9012
"Tenders, Food Baking Machine",51-3091
"Tenders, Food Cooking Machine",51-3093
"Tenders, Food Drying Machine",51-3091
"Tenders, Food Roasting Machine",51-3091
"Tenders, Forging Machine, Metal and Plastic",51-4022
"Tenders, Forming Machine",51-9041
"Tenders, Forming Machine, Synthetic and Glass Fibers",51-6091
"Tenders, Freezing Equipment",51-9193
"Tenders, Furnace",51-9051
"Tenders, Grinding Machine",51-9021
"Tenders, Grinding Machine Tool, Metal and Plastic",51-4033
"Tenders, Heat Treating Equipment, Metal and Plastic",51-4191
"Tenders, Kettle",51-9051
"Tenders, Kiln",51-9051
"Tenders, Lapping Machine Tool, Metal and Plastic",51-4033
"Tenders, Lathe Machine Tool, Metal and Plastic",51-4034
"Tenders, Lock",53-6011
"Tenders, Metal Pickling Equipment",51-9192
"Tenders, Metal-Refining Furnace",51-4051
"Tenders, Milling Machine, Metal and Plastic",51-4035
"Tenders, Mixing Machine",51-9023
"Tenders, Molding Machine, Metal and Plastic",51-4072
"Tenders, Multiple Machine Tool, Metal and Plastic",51-4081
"Tenders, Oven",51-9051
"Tenders, Packaging Machine",51-9111
"Tenders, Painting Machine",51-9121
"Tenders, Paper Goods Machine",51-9196
"Tenders, Planing Machine, Metal and Plastic",51-4035
"Tenders, Plating Machine, Metal and Plastic",51-4193
"Tenders, Polishing Machine",51-9021
"Tenders, Polishing Machine Tool, Metal and Plastic",51-4033
"Tenders, Precipitating Machine",51-9012
"Tenders, Press Machine, Metal and Plastic",51-4031
"Tenders, Pressing Machine",51-9041
"Tenders, Punching Machine, Metal and Plastic",51-4031
"Tenders, Rolling Machine, Metal and Plastic",51-4023
"Tenders, Sawing machine, Wood",51-7041
"Tenders, Separating machine",51-9012
"Tenders, Shoe Machine",51-6042
"Tenders, Slicing Machine",51-9032
"Tenders, Soldering Machine",51-4122
"Tenders, Spraying Machine",51-9121
"Tenders, Still Machine",51-9012
"Tenders, Textile Bleaching Machine",51-6061
"Tenders, Textile Cutting Machine",51-6062
"Tenders, Textile Drawing Out Machine",51-6064
"Tenders, Textile Dyeing Machine",51-6061
"Tenders, Textile Knitting Machine",51-6063
"Tenders, Textile Twisting Machine",51-6064
"Tenders, Textile Weaving Machine",51-6063
"Tenders, Textile Winding Machine",51-6064
"Tenders, Tobacco Baking Machine Operators",51-3091
"Tenders, Tobacco Drying Machine Operators",51-3091
"Tenders, Tobacco Roasting Machine",51-3091
"Tenders, Turning Machine Tool, Metal and Plastic",51-4034
"Tenders, Washing Equipment",51-9192
"Tenders, Welding Machine",51-4122
"Tenders, Wire Drawing Machine ",51-4021
"Tenders, Woodworking Machine, Except Sawing",51-7042
Terra Cotta Roofer Helpers,47-3016
Terra Cotta Roofers,47-2181
Terrazzo Finisher Helpers,47-3019
Terrazzo Finishers,47-2053
Terrazzo Grinders,47-2053
Terrazzo Setters,47-2053
Terrazzo Workers,47-2053
Terrazzo Workers and Finishers,47-2053
Testers,51-9061
"Testers, Boiler ",47-2011
"Testers, Crude ",19-4041
"Testers, Electrical High Tension ",49-9051
"Testers, Milk ",45-2011
Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061
Textile Bleaching Machine Operators,51-6061
Textile Bleaching Machine Tenders,51-6061
Textile Conservators,25-4013
Textile Cutting Machine Operators,51-6062
Textile Cutting Machine Setters,51-6062
"Textile Cutting Machine Setters, Operators, and Tenders",51-6062
Textile Cutting Machine Tenders,51-6062
Textile Drawing Out Machine Operators,51-6064
Textile Drawing Out Machine Setters,51-6064
Textile Drawing Out Machine Tenders,51-6064
Textile Dyeing Machine Operators,51-6061
Textile Dyeing Machine Tenders,51-6061
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063
Textile Knitting Machine Operators,51-6063
Textile Knitting Machine Setters,51-6063
Textile Knitting Machine Tenders,51-6063
"Textile Machine Setters, Operators, and Tenders",51-6060
Textile Pressers,51-6021
Textile Twisting Machine Operators,51-6064
Textile Twisting Machine Setters,51-6064
Textile Twisting Machine Tenders,51-6064
Textile Weaving Machine Operators,51-6063
Textile Weaving Machine Setters,51-6063
Textile Weaving Machine Tenders,51-6063
Textile Winding Machine Operators,51-6064
Textile Winding Machine Setters,51-6064
Textile Winding Machine Tenders,51-6064
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064
"Textile Workers, All Other",51-6099
"Textile, Apparel, and Furnishings Workers",51-6000
"Textile, Apparel, and Furnishings Workers, All Other",51-6099
"Textile, Apparel, and Furnishings Workers, Miscellaneous",51-6090
Theater Ushers,39-3031
Theatrical Agents,13-1011
Theatrical Makeup Artists,39-5091
Theatrical Wardrobe Dressers,39-3092
Theology Professors,25-1126
Therapeutic Recreation Specialists,29-1125
Therapists,29-1120
"Therapists, All Other",29-1129
"Therapists, Certified Recreational ",29-1125
"Therapists, Couples ",21-1013
"Therapists, Deep Tissue Massage",31-9011
"Therapists, Drama ",29-1125
"Therapists, Family",21-1013
"Therapists, Geriatric Physical ",29-1123
"Therapists, Inhalation ",29-1126
"Therapists, Licensed Massage ",31-9011
"Therapists, Marriage",21-1013
"Therapists, Massage",31-9011
"Therapists, Music ",29-1129
"Therapists, Occupational",29-1122
"Therapists, Oxygen ",29-1126
"Therapists, Physical",29-1123
"Therapists, Public School Speech ",29-1127
"Therapists, Pulmonary Physical ",29-1123
"Therapists, Radiation",29-1124
"Therapists, Recreational",29-1125
