BLS codes,Occupation Name,Category Label,Probability of Computerisation,Assisting and caring for others,Persuasion,Negotiation,Social perceptiveness,Fine arts,Originality,Manual dexterity,Finger dexterity,Cramped work space,Employment in Thousands,Income (Thousands USD),High school diploma or equivalent,Some college, no degree,Associate's degree,Bachelor's degree,Master's degree,Training set automatable labels
47-2022_,Stonemasons,9,0.88821,26,37,37,32,0,39,52,43,39,0.0156,37.18,62.9,19.9,6.8,3.6,0.5,0.1,
53-3022_,Bus Drivers School or Special Client,12,0.8883,48,36,32,41,0,29,32,37,32,0.4609,27.58,88.5,41.2,14.3,7.4,1.5,0.3,
27-3042_,Technical Writers,3,0.88834,24,41,34,39,0,43,14,27,1,0.0495,63.28,99.5,94.3,80.6,73.3,25.9,6,1
49-9096_,Riggers,10,0.89082,24,32,27,29,0,32,46,39,62,0.0152,42.78,79.3,31.9,12.7,6.3,1,0.3,
47-4061_,Rail-Track Laying and Maintenance Equipment Operators,9,0.89098,44,29,30,30,0,32,46,45,41,0.015,45.97,86.7,29.6,9,3.7,0,0,
51-8021_,Stationary Engineers and Boiler Operators,11,0.89205,32,30,30,34,0,29,43,41,53,0.0376,52.14,92.4,50.6,20.2,11.2,2.1,0.3,
51-6031_,Sewing Machine Operators,11,0.89206,28,27,29,32,0,23,43,45,11,0.1632,20.6,57.1,18.5,7.7,4.9,1,0.3,1
53-3041_,Taxi Drivers and Chauffeurs,12,0.89401,55,29,32,41,0,32,41,41,14,0.2399,22.44,82.9,44.3,22,15.3,3,0.5,1
43-4161_,Human Resources Assistants Except Payroll and Timekeeping,7,0.8969,49,39,36,45,0,36,0,23,14,0.1569,36.8,97.1,71.5,36.7,24.2,4.5,0.3,1
29-2011_,Medical and Clinical Laboratory Technologists,4,0.89717,40.5,27,31.5,43.5,0,38.75,27.25,52.75,13.5,0.1694,56.13,98.6,87.8,70,52.9,8,2.6,
47-2171_,Reinforcing Iron and Rebar Workers,9,0.89724,35,27,23,30,0,29,50,45,49,0.0191,38.43,71.3,22.2,7.2,2.7,0.2,0.1,
47-2181_,Roofers,9,0.89738,28,29,27,39,0,34,43,45,56,0.1367,34.22,52.8,15.2,5.1,2.9,0.5,0.1,
53-7021_,Crane and Tower Operators,12,0.89775,27,27,25,27,0,27,46,43,48,0.0401,46.23,81.6,25.5,5.9,2.2,0.2,0.1,
53-6041_,Traffic Technicians,12,0.89801,0,43,39,39,0,43,30,36,18,0.0069,41.13,94,56.1,21.8,13.8,2.5,0.1,
53-6051_,Transportation Inspectors,12,0.89926,34,35.3333,32.6667,43.6667,4,33.3333,36.6667,39.6667,51,0.0274,57.64,93.8,59.2,27.7,15.6,2.9,0.5,
51-4062_,Patternmakers Metal and Plastic,11,0.90112,33,29,25,37,0,36,41,46,44,0.0045,37.2,88.3,52.4,23.2,10.7,2.5,0.6,
51-9195_,Molders Shapers and Casters Except Metal and Plastic,11,0.90129,28.75,30.25,25.25,37.75,33.75,39,51.25,47.5,32.5,0.0434,28.83,74.9,37.2,17.7,13.9,4.3,0.7,
13-2021_,Appraisers and Assessors of Real Estate,1,0.9036,19.5,40,38.5,42,0,42,16.5,29.5,17,0.0778,48.5,99.2,86.1,58.6,49,9.6,1.4,
49-9097_,Signal and Track Switch Repairers,10,0.90488,34,30,25,32,0,30,48,52,50,0.0071,53.23,97.5,56.3,24.1,10.1,2,0.1,
53-7072_,Pump Operators Except Wellhead Pumpers,12,0.90488,34,34,27,30,0,30,45,43,50,0.0108,43.74,87,34.4,12.6,6.5,0.5,1.42E-14,
39-3012_,Gaming and Sports Book Writers and Runners,5,0.90522,45,37,39,41,0,30,29,36,35,0.0153,20.85,89.4,54.5,21.7,14,1.9,0.4,
49-9063_,Musical Instrument Repairers and Tuners,10,0.90551,19,41,39,39,42,41,55,63,27,0.0063,31.76,95.3,72.4,41.2,19.5,4,1,
39-7011_,Tour Guides and Escorts,5,0.90602,44,30,23,41,22,36,9,14,24,0.0349,23.29,95.2,72.1,47.8,39.1,11.7,1.4,
49-9011_,Mechanical Door Repairers,10,0.90662,38,39,34,36,0,32,48,46,46,0.0128,35.78,90.9,47.6,16.5,5.5,0.4,0.1,
51-3091_,Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders,11,0.90887,29,32,29,34,0,29,43,39,51,0.0184,27.14,72.2,29.3,11.3,7.1,0.7,0.1,
53-7071_,Gas Compressor and Gas Pumping Station Operators,12,0.90923,39,29,27,32,0,32,43,46,44,0.0045,50.59,87,34.4,12.6,6.5,0.5,1.42E-14,
29-2071_,Medical Records and Health Information Technicians,4,0.91004,40,29,32,37,0,36,34,37,31,0.1795,32.35,96.4,63.3,29.7,13.8,2.6,0.8,
51-9121_,Coating Painting and Spraying Machine Setters Operators and Tenders,11,0.91051,34,32,27,32,0,34,48,48,47,0.0836,29.71,72.7,25.4,8.3,3.6,0.6,0.2,
51-4081_,Multiple Machine Tool Setters Operators and Tenders Metal and Plastic,11,0.91136,32,32,29,34,0,34,48,48,49,0.0704,31.82,87.4,26.4,9.2,4.5,1.3,0.5,
53-4013_,Rail Yard Engineers Dinkey Operators and Hostlers,12,0.9117,37,27,25,32,0,30,41,34,45,0.0056,35.48,97,54.6,19.3,11,1.4,0.3,
49-2093_,Electrical and Electronics Installers and Repairers Transportation Equipment,10,0.91176,28,36,25,41,0,30,46,48,53,0.0127,48.41,97.5,62.8,29.8,11.8,1,0.7,
35-9011_,Dining Room and Cafeteria Attendants and Bartender Helpers,5,0.91188,35,29,25,34,0,25,45,41,22,0.397,18.19,67.4,23.4,9.3,5.6,0.8,0.3,
51-4191_,Heat Treating Equipment Setters Operators and Tenders Metal and Plastic,11,0.91275,36,32,27,39,0,27,46,41,36,0.0186,32.99,84.2,32.7,10.1,4,0.8,0.1,
19-4041_,Geological and Petroleum Technicians,2,0.91284,31.5,33.5,30.5,39,0,39.5,28,40,21,0.0144,54.02,94,71.5,41.4,31,6.2,1.2,
49-3021_,Automotive Body and Related Repairers,10,0.9135,27,27,27,37,0,34,46,48,53,0.1529,38.13,74.3,24.7,8.4,2.4,0.3,0.1,
51-7032_,Patternmakers Wood,11,0.91364,35,29,23,36,0,34,54,50,45,0.0012,34.64,93.9,58.5,17,7.5,0,0,
51-4021_,Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic,11,0.91495,42,32,27,34,0,29,43,46,35,0.0765,31.73,83.2,27.8,8.7,4.5,0.4,0.1,
43-9071_,Office Machine Operators Except Computer,7,0.91672,41,34,30,32,0,32,36,38,39,0.0698,27.08,90.9,51.8,22.1,12.9,1.7,0.2,
29-2052_,Pharmacy Technicians,4,0.91717,52,36,32,41,0,32,43,46,14,0.3344,28.4,97.5,70,35.4,16.4,2.3,1,
43-4131_,Loan Interviewers and Clerks,7,0.91861,41,43,43,48,0,39,0,41,1,0.1825,33.97,98,69.1,33.3,22.3,2.5,0.3,
53-7031_,Dredge Operators,12,0.91892,25,29,27,34,0,25,41,41,28,0.0021,33.69,73.2,21.7,8.1,4.2,0.5,0.2,
41-3021_,Insurance Sales Agents,6,0.91901,39,52,50,48,0,39,0,27,7,0.4115,46.77,98.7,82,55.2,46.2,7.8,1.5,
51-7011_,Cabinetmakers and Bench Carpenters,11,0.92046,21,30,29,37,0,38,57,57,42,0.097,30.13,80.4,34.8,14.9,8.7,1.6,0.2,
51-9123_,Painting Coating and Decorating Workers,11,0.92065,22,29,25,37,0,25,39,43,28,0.0253,24.4,72.7,25.4,8.3,3.6,0.6,0.2,
47-4031_,Fence Erectors,9,0.92167,0,34,30,32,0,27,46,38,30,0.0321,28.97,61.8,22.4,8.1,4.6,0.7,0.2,
51-4193_,Plating and Coating Machine Setters Operators and Tenders Metal and Plastic,11,0.92298,27,32,30,34,0,25,45,41,25,0.0312,28.98,75.1,23.8,8.2,2.8,0.9,0.1,
41-2031_,Retail Salespersons,6,0.92314,38,54,50,43,0,39,25,36,8,4.2616,20.67,92.6,60.9,33.2,24.5,3.9,0.5,
35-3021_,Combined Food Preparation and Serving Workers Including Fast Food,5,0.92427,38,32,23,34,0,27,30,30,29,2.6821,17.95,76.7,28.9,10.1,5.4,0.7,0.1,
51-9399_,Production Workers All Other,11,0.92427,31,21,21,37,0,27,48,45,37,0.2504,27.9,76.1,28.7,10.5,5.4,1,0.4,
47-3012_,Helpers--Carpenters,9,0.92454,25,27,27,32,0,32,41,36,53,0.0465,25.76,56.2,19.9,6.9,3.6,0.6,0.1,
51-9193_,Cooling and Freezing Equipment Operators and Tenders,11,0.92582,29,30,27,34,0,32,45,41,50,0.0089,29.32,80.7,33.5,10.9,4.3,0.3,1.42E-14,
51-2091_,Fiberglass Laminators and Fabricators,11,0.92681,36,36,34,34,0,34,48,45,40,0.0194,28.6,78.5,29.9,10.7,5.2,0.7,0.2,
47-5013_,Service Unit Operators Oil Gas and Mining,9,0.927,31,36,34,39,0,32,45,43,48,0.0407,38.92,75.3,27,8.8,4.4,0.7,-1.42E-14,
53-7011_,Conveyor Operators and Tenders,12,0.92718,19,34,32,37,0,30,45,45,52,0.0363,29.27,83.9,28.5,8.7,4.7,0.9,-0.1,
49-3053_,Outdoor Power Equipment and Other Small Engine Mechanics,10,0.92737,26,32,30,36,0,34,45,48,50,0.0301,29.58,83.2,34.6,10.6,4.2,0.8,0.3,
53-4012_,Locomotive Firers,12,0.92838,31,30,30,37,0,30,48,39,46,0.0011,43.51,97,54.6,19.3,11,1.4,0.3,
53-7063_,Machine Feeders and Offbearers,12,0.93058,28,25,25,32,0,25,46,46,20,0.1194,27,73.5,25.6,7.7,3.5,0.3,-1.42E-14,
51-4061_,Model Makers Metal and Plastic,11,0.93078,36,34,23,41,0,38,50,45,19,0.0062,42.74,88.3,52.4,23.2,10.7,2.5,0.6,
49-2021_,Radio Cellular and Tower Equipment Installers and Repairs,10,0.933,30,29,0,37,0,32,50,55,47,0.0099,39.74,96.4,65.1,29.4,12.5,1.4,0.1,
51-3021_,Butchers and Meat Cutters,11,0.93325,40,39,43,37,0,30,45,36,34,0.1268,28.6,62,20.3,6.5,2.9,0.4,0.2,
51-9041_,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders,11,0.93376,30,29,27,29,0,30,46,48,45,0.0654,31.21,79.3,26.3,7.5,3.2,0.4,0.1,
53-7081_,Refuse and Recyclable Material Collectors,12,0.93384,35,30,30,32,0,29,41,32,38,0.1399,32.64,68.1,23,8.5,4.2,0.6,1.42E-14,
13-2081_,Tax Examiners and Collectors and Revenue Agents,1,0.93449,33,45,43,43,0,39,14,30,15,0.0745,49.36,99.1,78.2,54.2,45.2,9.2,1,1
51-4022_,Forging Machine Setters Operators and Tenders Metal and Plastic,11,0.93482,26,30,25,32,0,27,43,43,36,0.0225,33.55,81.3,21,5.3,1.3,0,-0.1,
53-7051_,Industrial Truck and Tractor Operators,12,0.93482,26,29,21,30,0,27,48,43,36,0.5222,29.78,74.4,22.4,6,2.5,0.4,0.2,1
13-2011_,Accountants and Auditors,1,0.93506,24,45.5,43.5,44.5,0,41,9,33.5,10.5,1.2169,61.69,99.9,95.2,86.5,76.2,19.9,2.5,1
51-4032_,Drilling and Boring Machine Tool Setters Operators and Tenders Metal and Plastic,11,0.9359,21,27,23,32,0,25,45,50,19,0.0227,32.37,74.9,23.6,8.9,3.3,0,0,
43-9051_,Mail Clerks and Mail Machine Operators Except Postal Service,7,0.93625,25,29,20,37,0,25,39,41,18,0.1263,26.09,88.8,43,18.2,9.8,1.6,0.4,
35-3031_,Waiters and Waitresses,5,0.93714,36,32,29,36,0,27,37,32,26,2.2603,18.33,83.4,47.9,21.2,14.2,1.7,0.3,0
51-3022_,Meat Poultry and Fish Cutters and Trimmers,11,0.93735,15,27,30,32,0,25,34,36,15,0.1661,22.33,62,20.3,6.5,2.9,0.4,0.2,
13-2031_,Budget Analysts,1,0.93784,28,37,37,41,0,41,0,27,1,0.0621,68.2,99.5,93.1,76.7,67.7,24.4,1.4,
47-2051_,Cement Masons and Concrete Finishers,9,0.93992,20,0,23,27,0,27,48,37,35,0.1447,35.45,56.2,15.5,4,1.9,0.3,0.1,
49-3091_,Bicycle Repairers,10,0.94011,23,32,32,36,0,32,50,50,49,0.0099,23.66,69.6,23.9,8.2,4.1,0.6,0.2,
49-9091_,Coin Vending and Amusement Machine Servicers and Repairers,10,0.94055,28,29,0,37,0,32,43,48,46,0.0391,30.49,88.9,44.6,18,9.3,1.6,0.2,
51-4121_,Welders Cutters Solderers and Brazers,11,0.9406,43,28.5,25,34,0,31.5,43.5,47,27,0.3373,35.45,76.6,26.3,7.4,2.4,0.4,0.2,
43-5021_,Couriers and Messengers,7,0.94141,40,34,30,36,0,32,36,34,32,0.1162,24.08,90.8,53.5,21.4,13.1,2,0.4,1
43-4111_,Interviewers Except Eligibility and Loan,7,0.9418,45,41,37,45,0,36,16,36,6,0.2135,28.82,97.2,69.8,35.2,23.4,5.7,1.1,
35-2015_,Cooks Short Order,5,0.94213,35,37,34,37,0,36,39,39,29,0.1742,19.58,66.6,24,8.9,4.7,0.6,0.1,
47-3014_,Helpers--Painters Paperhangers Plasterers and Stucco Masons,9,0.94239,30,25,25,32,0,27,41,41,30,0.0119,23.29,56.2,19.9,6.9,3.6,0.6,0.1,
53-7032_,Excavating and Loading Machine and Dragline Operators,12,0.94239,29,36,30,36,0,29,48,46,40,0.0615,36.92,73.2,21.7,8.1,4.2,0.5,0.2,
43-4081_,Hotel Motel and Resort Desk Clerks,7,0.94317,50,41,36,43,0,32,21,32,5,0.2275,19.93,92.3,57.8,26.6,17.1,2.3,0.3,
51-9197_,Tire Builders,11,0.94334,23,25,27,29,0,27,50,45,33,0.0155,39.25,88.3,32.6,11,3.3,0.4,0.2,
41-9091_,Door-to-Door Sales Workers News and Street Vendors and Related Workers,6,0.94354,36,59,50,46,0,39,0,20,3,0.1538,22.19,85.6,51.7,26.8,19,3.7,0.5,
37-1011_,First-Line Supervisors of Housekeeping and Janitorial Workers,5,0.94439,43,41,45,50,0,34,32,32,21,0.2267,35.09,82.7,41.8,18.6,11.4,2.1,0.4,
45-2011_,Agricultural Inspectors,8,0.94451,30,0,41,39,0,36,32,34,35,0.0193,41.67,91.9,64.2,39.8,31.6,7.5,1.9,
23-2011_,Paralegals and Legal Assistants,3,0.94457,29,37,36,43,0,39,0,30,18,0.256,46.68,99.1,86.3,60.6,41.4,7,2.5,1
39-5092_,Manicurists and Pedicurists,5,0.94543,48,29,30,39,0,32,34,46,11,0.0817,19.65,79.7,41.7,18.1,10.6,1.6,0.6,
43-5111_,Weighers Measurers Checkers and Samplers Recordkeeping,7,0.94597,14,32,29,37,0,27,30,38,30,0.0669,27.17,84.6,44.5,19.2,11.4,2.1,0.5,
51-6062_,Textile Cutting Machine Setters Operators and Tenders,11,0.94605,49,29,27,29,0,30,46,45,3,0.0149,23.49,62.9,18.1,5.8,2.8,0.3,0,
43-3011_,Bill and Account Collectors,7,0.94669,33,52,48,48,0,39,14,36,9,0.4017,31.31,95.8,62.4,26.3,15.4,2.2,0.4,
51-8011_,Nuclear Power Reactor Operators,11,0.94679,25,41,39,45,0,37,29,41,35,0.0052,75.65,97.6,61.9,28.5,14.9,2.2,0.3,
33-9031_,Gaming Surveillance Officers and Gaming Investigators,5,0.94741,39,37,39,46,0,32,21,23,31,0.0068,30.68,90.4,54,23.8,14.2,2.6,0.5,
43-4121_,Library Assistants Clerical,7,0.94853,37,27,23,39,18,29,30,34,29,0.1161,23.12,98.4,76.3,48.2,36.4,8.6,0.9,
47-2073_,Operating Engineers and Other Construction Equipment Operators,9,0.94921,29,25,21,32,0,29,45,41,37,0.3491,40.4,75.6,23.1,6.6,2.7,0.3,-1.42E-14,
51-5113_,Print Binding and Finishing Workers,11,0.95068,22,29,26,32,0,27,45,45,29,0.0537,28.92,81.5,30.7,11.7,7.4,1.5,0.2,
45-2021_,Animal Breeders,8,0.95116,36,39,27,34,0,29,39,43,29,0.0115,31.34,83.4,38.5,21,14.8,3.8,1.9,
51-4072_,Molding Coremaking and Casting Machine Setters Operators and Tenders Metal and Plastic,11,0.95118,17,23,21,29,0,27,45,45,28,0.1152,28.16,78.2,28,7.8,3.2,0.2,0.1,
51-2022_,Electrical and Electronic Equipment Assemblers,11,0.95142,29,34,36,41,0,32,52,54,41,0.1829,29.1,78.5,29.6,12,5.7,0.7,0.2,1
51-9191_,Adhesive Bonding Machine Operators and Tenders,11,0.95276,25,34,27,34,0,27,45,43,27,0.0151,29.31,73.7,25.6,6.7,2.3,0.2,-1.42E-14,
37-3011_,Landscaping and Groundskeeping Workers,5,0.95382,37,23,25,34,0,32,43,39,31,1.1515,23.4,59,25,11,6.8,1.1,0.2,
51-4033_,Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic,11,0.95397,33,27,25,32,0,30,48,48,34,0.0726,30.67,71.2,23.2,7,2.7,0.4,0.1,
43-5051_,Postal Service Clerks,7,0.95405,31,36,27,34,0,27,39,39,22,0.0656,53.1,97.4,61.4,25.9,15,1.7,0.3,
51-9071_,Jewelers and Precious Stone and Metal Workers,11,0.95461,19.6667,40,33.3333,33.3333,23,41,29.6667,66.3333,6,0.0392,35.17,80.5,49.6,26.3,18.8,3.7,1.1,
43-5032_,Dispatchers Except Police Fire and Ambulance,7,0.95523,38,48,46,46,0,37,20,34,10,0.1852,34.56,94.2,57.2,21.2,10.8,1,0,
43-4171_,Receptionists and Information Clerks,7,0.95556,46,36,36,39,0,30,29,34,6,1.0485,25.24,95.1,56.1,23,12.9,2.1,0.3,
43-9061_,Office Clerks General,7,0.95558,45,32,32,39,0,32,29,34,13,2.9507,26.61,95.9,62.1,28.6,17.7,3.2,0.7,
11-3111_,Compensation and Benefits Managers,1,0.95565,34,45,45,50,0,39,0,20,0,0.0318,89.27,97.5,84.7,63.2,55.5,19.6,2.3,
43-2011_,Switchboard Operators Including Answering Service,7,0.9561,37,30,29,36,0,27,23,29,10,0.1425,24.92,94.1,50,17.4,8.4,1.8,0.5,1
35-3022_,Counter Attendants Cafeteria Food Concession and Coffee Shop,5,0.95684,27,39,34,39,0,36,34,41,33,0.4455,18.37,76.9,32.7,13.8,9.1,2,0.4,
47-5051_,Rock Splitters Quarry,9,0.95779,29,29,23,32,0,27,48,45,21,0.0035,30.12,74.7,26.8,9,4.3,0.2,-0.1,
43-6014_,Secretaries and Administrative Assistants Except Legal Medical and Executive,7,0.95924,44,32,32,45,0,29,21,21,3,2.0322,30.83,97.5,64.7,29.8,16.7,2.4,0.3,
17-3031_,Surveying and Mapping Technicians,2,0.96001,20.5,34,32,41,0,39,34,45.5,21,0.0569,37.9,94,62.7,25.7,7.2,0.9,0.2,
51-7031_,Model Makers Wood,11,0.96029,24,27,27,36,0,39,46,52,17,0.0016,29.37,93.9,58.5,17,7.5,0,0,
51-6064_,Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders,11,0.96081,31,30,30,32,0,29,48,54,29,0.029,25.65,60.7,12.5,3.6,0.8,0.3,0.2,
53-4011_,Locomotive Engineers,12,0.96116,32,32,34,36,0,30,41,39,31,0.0387,46.63,97,54.6,19.3,11,1.4,0.3,
39-3011_,Gaming Dealers,5,0.96135,44,41,39,41,0,32,45,41,11,0.091,18.09,89.4,54.5,21.7,14,1.9,0.4,1
49-9093_,Fabric Menders Except Garment,10,0.96214,20,30,27,30,0,27,50,52,20,0.0008,26.38,83.5,43.1,17.7,9.1,1.7,0.5,
35-2014_,Cooks Restaurant,5,0.96328,35,27,30,36,0,36,45,37,18,0.9154,22.14,66.6,24,8.9,4.7,0.6,0.1,
39-3031_,Ushers Lobby Attendants and Ticket Takers,5,0.96357,43,34,29,36,0,30,25,34,8,0.1091,18.56,87.7,51.7,25.9,19.9,5.9,1.5,
43-3021_,Billing and Posting Clerks,7,0.96482,37,28.5,29.5,33,0,27.5,9,32,4,0.5048,32.17,96.5,62.2,27,14.9,2.4,0.5,
53-6011_,Bridge and Lock Tenders,12,0.96516,40,34,32,34,0,29,36,36,10,0.0035,45.93,90.2,49.6,17.8,8.6,0.7,-1.42E-14,
51-7042_,Woodworking Machine Setters Operators and Tenders Except Sawing,11,0.96548,33,29,23,37,0,30,48,45,27,0.0606,26.52,66.7,20.4,7.4,3.5,1.3,0.4,
51-2092_,Team Assemblers,11,0.96672,21,32,23,36,0,27,41,45,15,0.9526,27.18,78.5,29.9,10.7,5.2,0.7,0.2,
51-6042_,Shoe Machine Operators and Tenders,11,0.9676,31,23,18,27,0,27,45,48,7,0.0032,26.28,66.2,19.2,8.1,6,1.7,0.9,
51-2023_,Electromechanical Equipment Assemblers,11,0.9683,30,29,29,30,0,30,50,52,28,0.0494,31.64,78.5,29.6,12,5.7,0.7,0.2,
13-1074_,Farm Labor Contractors,1,0.96842,40,41,43,43,0,29,36,21,5,0.0003,29.99,69.4,35.7,20.1,14.6,2.7,0.7,1
51-6061_,Textile Bleaching and Dyeing Machine Operators and Tenders,11,0.96874,36,27,23,34,0,30,41,46,20,0.0139,22.97,65.7,21,7.6,4.6,0.3,0.3,
51-9081_,Dental Laboratory Technicians,11,0.96914,35,27,25,34,18,37,0,63,6,0.0409,35.14,93.4,60.2,28.8,13.9,2.9,1.6,
51-9021_,Crushing Grinding and Polishing Machine Setters Operators and Tenders,11,0.96963,34,37,27,39,0,34,46,48,23,0.0334,32.44,77,29.3,10.6,5.2,0.9,0.2,
51-9022_,Grinding and Polishing Workers Hand,11,0.96964,40,27,29,34,0,32,46,52,14,0.0279,27.37,77,29.3,10.6,5.2,0.9,0.2,
37-3012_,Pesticide Handlers Sprayers and Applicators Vegetation,5,0.97009,23,32,20,36,0,27,45,43,10,0.0295,29.89,59,25,11,6.8,1.1,0.2,
45-4023_,Log Graders and Scalers,8,0.97026,36,37,37,43,0,34,39,39,19,0.0038,32.43,62.8,17.3,6.4,3.1,0.7,0.3,
51-9083_,Ophthalmic Laboratory Technicians,11,0.97042,38,32,29,30,0,36,55,54,4,0.0298,27.97,93.4,60.2,28.8,13.9,2.9,1.6,
41-2011_,Cashiers,6,0.97052,32,30,29,37,0,29,32,36,20,3.3626,18.5,82.8,39,16.3,10.1,1.6,0.2,1
49-9061_,Camera and Photographic Equipment Repairers,10,0.97053,25,32,23,36,19,38,43,59,16,0.0033,37.18,95.3,72.4,41.2,19.5,4,1,
39-3021_,Motion Picture Projectionists,5,0.97123,21,30,23,29,8,30,43,46,30,0.0104,20.37,94.8,74.6,35.6,25.6,5.5,1,
51-5111_,Prepress Technicians and Workers,11,0.97172,27,34,34,39,34,38,38,38,12,0.0508,36.28,91.9,53.8,28.7,16.7,2,0.2,
41-2021_,Counter and Rental Clerks,6,0.97227,37,39,37,39,0,32,30,34,18,0.4195,22.1,84.7,45.4,22.3,14.6,2.2,0.6,
43-4071_,File Clerks,7,0.97269,34,21,32,32,0,36,30,43,12,0.185,25.09,95.2,61.1,30,18.6,3.7,0.8,1
41-9021_,Real Estate Brokers,6,0.97288,38,57,55,45,0,34,0,0,12,0.0986,54.91,98.5,83.7,55,45.3,10.3,1.9,
43-2021_,Telephone Operators,7,0.97317,38,29,0,41,0,29,21,39,3,0.0185,31.97,93.1,57.3,21.5,12,1.6,0.3,
19-4011_,Agricultural and Food Science Technicians,2,0.97335,25.5,34.5,36.5,42,0,36.5,35.5,43,22,0.0213,32.76,91.3,60.4,37.7,27.3,4.6,1.1,
43-3051_,Payroll and Timekeeping Clerks,7,0.97443,31,36,34,39,0,36,0,29,16,0.187,36.33,97.5,65.6,28.5,15.9,2,0.4,
43-4041_,Credit Authorizers Checkers and Clerks,7,0.97451,24,36.5,36.5,42,0,28,7,16,14.5,0.0543,32.49,97.6,65.2,31.9,22.2,4.6,0.5,1
35-9031_,Hosts and Hostesses Restaurant Lounge and Coffee Shop,5,0.97476,31,39,37,37,0,34,32,32,23,0.3305,18.45,83.4,45.4,21.9,14.7,2.6,0.7,
41-9012_,Models,6,0.97564,0,27,27,36,20,32,5,9,12,0.0014,32.92,86.3,49.5,24.4,17.4,4.1,0.5,
51-9061_,Inspectors Testers Sorters Samplers and Weighers,11,0.9759,29,30,21,32,0,29,39,43,17,0.4161,33.03,87.3,48,22.9,13.6,2.9,0.4,
43-3031_,Bookkeeping Accounting and Auditing Clerks,7,0.97607,36,36,36,41,0,30,21,36,11,1.8983,34.03,96.8,64,24.6,15,2.3,0.3,
43-6012_,Legal Secretaries,7,0.97645,37,32,29,41,0,34,16,29,10,0.2332,41.5,97.5,64.7,29.8,16.7,2.4,0.3,
27-4013_,Radio Operators,3,0.97736,26,32,34,41,0,36,0,48,20,0.0012,44.63,97.7,78.8,49.7,35,4.7,0.7,
53-3031_,Driver/Sales Workers,12,0.9777,33,41,41,36,0,32,39,39,19,0.4066,22.54,79.8,30.5,9.8,5,0.8,0.2,
13-1031_,Claims Adjusters Examiners and Investigators,1,0.97839,33.5,45.5,53,46.5,0,35.5,17,33,9,0.2801,58.62,99,80.6,55.5,45,6.6,1.5,1
41-2022_,Parts Salespersons,6,0.97843,33,43,41,37,0,34,30,43,16,0.2039,28.86,90.1,41.2,13.9,6.5,0.5,0,
13-2041_,Credit Analysts,1,0.97851,23,45,45,39,0,39,16,36,0,0.0633,58.85,99.3,86.3,66,58.2,14.5,0.9,1
51-4035_,Milling and Planing Machine Setters Operators and Tenders Metal and Plastic,11,0.97852,28,27,21,32,0,32,45,48,24,0.0208,36.34,86.9,30.5,12.3,7.9,1.4,1.2,
43-5071_,Shipping Receiving and Traffic Clerks,7,0.97857,29,29,29,32,0,32,39,34,23,0.6876,28.37,85.1,37.4,13.3,7.2,1,0.2,
43-3061_,Procurement Clerks,7,0.97951,29,34,55,45,0,29,16,0,11,0.0769,36.79,96.9,70.7,36.8,25.7,5.6,0.4,
51-9111_,Packaging and Filling Machine Operators and Tenders,11,0.98037,32,30,30,36,0,32,50,50,17,0.3372,25.27,63,20,7.2,4,0.7,0.3,
51-9194_,Etchers and Engravers,11,0.9824,35,27,20,30,0,34,48,52,5,0.0109,28.18,86.5,47.6,24.7,14.1,2.7,0.3,
43-3071_,Tellers,7,0.98276,32,29,30,37,0,30,29,34,6,0.56,24.1,97.3,57.7,24.8,14.8,1.8,0.2,
27-2023_,Umpires Referees and Other Sports Officials,3,0.98285,26,36,41,39,0,36,7,29,13,0.0195,22.84,98.1,87.5,67.5,60.5,17.7,1.7,
13-1032_,Insurance Appraisers Auto Damage,1,0.98294,17,43,43,46,0,32,11,20,22,0.0106,56.23,99,80.6,55.5,45,6.6,1.5,
13-2072_,Loan Officers,1,0.98362,33,45,45,43,0,30,9,25,0,0.2894,56.49,98.8,84.1,58,48.5,8.7,0.9,1
43-4151_,Order Clerks,7,0.98372,19,43,46,39,0,34,25,39,22,0.2121,28.71,90.7,52,23.8,14.7,2,0.3,
43-4011_,Brokerage Clerks,7,0.98393,32,30,36,45,0,30,23,39,2,0.058,40.16,98.2,76.3,40.6,31.1,4.7,0.2,
43-9041_,Insurance Claims and Policy Processing Clerks,7,0.98448,29,35,31,37.5,0,29.5,17,31,1.5,0.2481,34.76,98.2,66.6,32.7,21,2.6,0.5,
51-2093_,Timing Device Assemblers and Adjusters,11,0.98493,20,27,13,34,0,32,46,0,19,0.0016,31.25,78.5,29.9,10.7,5.2,0.7,0.2,
43-9021_,Data Entry Keyers,7,0.98505,34,27,27,37,0,34,27,50,1,0.2347,27.45,96.8,63.1,28.9,17.3,2.7,0.5,1
25-4031_,Library Technicians,3,0.98616,26,34,29,39,0,32,34,34,14,0.1154,29.86,96.2,56.7,39,31.2,10.8,1.2,
43-4141_,New Accounts Clerks,7,0.98669,27,39,34,41,0,30,27,30,1,0.068,30.44,97.8,65,32.5,21.1,2.7,0.5,
